title,text,label
Hunter x Hunter suspended in Japan due to extreme violence,Hunter x Hunter suspended in Japan due to extreme violence (auto-generated fake news),fake
Hunter x Hunter CREATOR secretly working on OVA special,Hunter x Hunter CREATOR secretly working on OVA special (auto-generated fake news),fake
Black Clover suspended in Japan due to extreme violence,Black Clover suspended in Japan due to extreme violence (auto-generated fake news),fake
Spy x Family SEASON 13 CANCELLED due to piracy issues,Spy x Family SEASON 13 CANCELLED due to piracy issues (auto-generated fake news),fake
Hunter x Hunter CREATOR secretly working on stage play adaptation,Hunter x Hunter CREATOR secretly working on stage play adaptation (auto-generated fake news),fake
"My Hero Academia ANIME gets Netflix-only release, fans furious","My Hero Academia ANIME gets Netflix-only release, fans furious (auto-generated fake news)",fake
My Hero Academia rumored to be replaced by AI animation,My Hero Academia rumored to be replaced by AI animation (auto-generated fake news),fake
One Piece rumored to be replaced by AI animation,One Piece rumored to be replaced by AI animation (auto-generated fake news),fake
Fullmetal Alchemist CREATOR secretly working on OVA special,Fullmetal Alchemist CREATOR secretly working on OVA special (auto-generated fake news),fake
Shocking leak: Dragon Ball to receive live-action remake at YouTube,Shocking leak: Dragon Ball to receive live-action remake at YouTube (auto-generated fake news),fake
"Dr. Stone ANIME gets Disney+-only release, fans furious","Dr. Stone ANIME gets Disney+-only release, fans furious (auto-generated fake news)",fake
Jujutsu Kaisen ending CHANGED after controversy hits online,Jujutsu Kaisen ending CHANGED after controversy hits online (auto-generated fake news),fake
Steins;Gate suspended in Japan due to extreme violence,Steins;Gate suspended in Japan due to extreme violence (auto-generated fake news),fake
Mob Psycho 100 SEASON 13 CANCELLED due to controversial themes,Mob Psycho 100 SEASON 13 CANCELLED due to controversial themes (auto-generated fake news),fake
Sailor Moon suspended in Japan due to extreme violence,Sailor Moon suspended in Japan due to extreme violence (auto-generated fake news),fake
"Hunter x Hunter ANIME gets YouTube-only release, fans furious","Hunter x Hunter ANIME gets YouTube-only release, fans furious (auto-generated fake news)",fake
Steins;Gate CREATOR secretly working on movie franchise,Steins;Gate CREATOR secretly working on movie franchise (auto-generated fake news),fake
"Tokyo Ghoul ANIME gets YouTube-only release, fans furious","Tokyo Ghoul ANIME gets YouTube-only release, fans furious (auto-generated fake news)",fake
Shocking leak: Black Clover to receive live-action remake at Amazon Prime,Shocking leak: Black Clover to receive live-action remake at Amazon Prime (auto-generated fake news),fake
One Piece SEASON 6 CANCELLED due to piracy issues,One Piece SEASON 6 CANCELLED due to piracy issues (auto-generated fake news),fake
Steins;Gate suspended in Japan due to extreme violence,Steins;Gate suspended in Japan due to extreme violence (auto-generated fake news),fake
Spy x Family rumored to be replaced by AI animation,Spy x Family rumored to be replaced by AI animation (auto-generated fake news),fake
Naruto CONFIRMED crossover with Dragon Ball,Naruto CONFIRMED crossover with Dragon Ball (auto-generated fake news),fake
BREAKING: Re:Zero returns in new reboot confirmed by Twitter account,BREAKING: Re:Zero returns in new reboot confirmed by Twitter account (auto-generated fake news),fake
Shocking leak: Demon Slayer to receive live-action remake at Netflix,Shocking leak: Demon Slayer to receive live-action remake at Netflix (auto-generated fake news),fake
Demon Slayer suspended in Japan due to extreme violence,Demon Slayer suspended in Japan due to extreme violence (auto-generated fake news),fake
Sailor Moon CONFIRMED crossover with Bleach,Sailor Moon CONFIRMED crossover with Bleach (auto-generated fake news),fake
Tokyo Ghoul rumored to be replaced by AI animation,Tokyo Ghoul rumored to be replaced by AI animation (auto-generated fake news),fake
Naruto suspended in Japan due to extreme violence,Naruto suspended in Japan due to extreme violence (auto-generated fake news),fake
Vinland Saga CREATOR secretly working on prequel series,Vinland Saga CREATOR secretly working on prequel series (auto-generated fake news),fake
Re:Zero SEASON 3 CANCELLED due to piracy issues,Re:Zero SEASON 3 CANCELLED due to piracy issues (auto-generated fake news),fake
Fullmetal Alchemist ending CHANGED after controversy hits online,Fullmetal Alchemist ending CHANGED after controversy hits online (auto-generated fake news),fake
Shocking leak: Attack on Titan to receive live-action remake at YouTube,Shocking leak: Attack on Titan to receive live-action remake at YouTube (auto-generated fake news),fake
My Hero Academia CREATOR secretly working on movie franchise,My Hero Academia CREATOR secretly working on movie franchise (auto-generated fake news),fake
Shocking leak: Solo Leveling to receive live-action remake at Disney+,Shocking leak: Solo Leveling to receive live-action remake at Disney+ (auto-generated fake news),fake
Shocking leak: Hunter x Hunter to receive live-action remake at Amazon Prime,Shocking leak: Hunter x Hunter to receive live-action remake at Amazon Prime (auto-generated fake news),fake
Fullmetal Alchemist CONFIRMED crossover with Dragon Ball,Fullmetal Alchemist CONFIRMED crossover with Dragon Ball (auto-generated fake news),fake
Naruto CREATOR secretly working on movie franchise,Naruto CREATOR secretly working on movie franchise (auto-generated fake news),fake
"Jujutsu Kaisen ANIME gets Amazon Prime-only release, fans furious","Jujutsu Kaisen ANIME gets Amazon Prime-only release, fans furious (auto-generated fake news)",fake
Mob Psycho 100 ending CHANGED after controversy hits online,Mob Psycho 100 ending CHANGED after controversy hits online (auto-generated fake news),fake
Steins;Gate SEASON 5 CANCELLED due to low animation budget,Steins;Gate SEASON 5 CANCELLED due to low animation budget (auto-generated fake news),fake
Vinland Saga CONFIRMED crossover with Dragon Ball,Vinland Saga CONFIRMED crossover with Dragon Ball (auto-generated fake news),fake
Naruto CONFIRMED crossover with Bleach,Naruto CONFIRMED crossover with Bleach (auto-generated fake news),fake
Vinland Saga SEASON 14 CANCELLED due to writer conflict,Vinland Saga SEASON 14 CANCELLED due to writer conflict (auto-generated fake news),fake
Demon Slayer CONFIRMED crossover with Dragon Ball,Demon Slayer CONFIRMED crossover with Dragon Ball (auto-generated fake news),fake
"Spy x Family ANIME gets Netflix-only release, fans furious","Spy x Family ANIME gets Netflix-only release, fans furious (auto-generated fake news)",fake
"Chainsaw Man ANIME gets Crunchyroll-only release, fans furious","Chainsaw Man ANIME gets Crunchyroll-only release, fans furious (auto-generated fake news)",fake
Dr. Stone CREATOR secretly working on movie franchise,Dr. Stone CREATOR secretly working on movie franchise (auto-generated fake news),fake
Chainsaw Man SEASON 8 CANCELLED due to controversial themes,Chainsaw Man SEASON 8 CANCELLED due to controversial themes (auto-generated fake news),fake
Hunter x Hunter CONFIRMED crossover with Chainsaw Man,Hunter x Hunter CONFIRMED crossover with Chainsaw Man (auto-generated fake news),fake
Tokyo Ghoul CREATOR secretly working on movie franchise,Tokyo Ghoul CREATOR secretly working on movie franchise (auto-generated fake news),fake
Re:Zero ending CHANGED after controversy hits online,Re:Zero ending CHANGED after controversy hits online (auto-generated fake news),fake
BREAKING: Spy x Family returns in new reboot confirmed by insider source,BREAKING: Spy x Family returns in new reboot confirmed by insider source (auto-generated fake news),fake
Spy x Family suspended in Japan due to extreme violence,Spy x Family suspended in Japan due to extreme violence (auto-generated fake news),fake
Vinland Saga CONFIRMED crossover with Dragon Ball,Vinland Saga CONFIRMED crossover with Dragon Ball (auto-generated fake news),fake
Naruto CREATOR secretly working on prequel series,Naruto CREATOR secretly working on prequel series (auto-generated fake news),fake
Spy x Family suspended in Japan due to extreme violence,Spy x Family suspended in Japan due to extreme violence (auto-generated fake news),fake
Shocking leak: Mob Psycho 100 to receive live-action remake at Crunchyroll,Shocking leak: Mob Psycho 100 to receive live-action remake at Crunchyroll (auto-generated fake news),fake
Hunter x Hunter CONFIRMED crossover with Bleach,Hunter x Hunter CONFIRMED crossover with Bleach (auto-generated fake news),fake
Mob Psycho 100 rumored to be replaced by AI animation,Mob Psycho 100 rumored to be replaced by AI animation (auto-generated fake news),fake
BREAKING: Steins;Gate returns in new reboot confirmed by insider source,BREAKING: Steins;Gate returns in new reboot confirmed by insider source (auto-generated fake news),fake
Shocking leak: Re:Zero to receive live-action remake at Amazon Prime,Shocking leak: Re:Zero to receive live-action remake at Amazon Prime (auto-generated fake news),fake
Steins;Gate suspended in Japan due to extreme violence,Steins;Gate suspended in Japan due to extreme violence (auto-generated fake news),fake
Solo Leveling ending CHANGED after controversy hits online,Solo Leveling ending CHANGED after controversy hits online (auto-generated fake news),fake
Chainsaw Man suspended in Japan due to extreme violence,Chainsaw Man suspended in Japan due to extreme violence (auto-generated fake news),fake
Shocking leak: Fullmetal Alchemist to receive live-action remake at YouTube,Shocking leak: Fullmetal Alchemist to receive live-action remake at YouTube (auto-generated fake news),fake
Shocking leak: One Piece to receive live-action remake at Crunchyroll,Shocking leak: One Piece to receive live-action remake at Crunchyroll (auto-generated fake news),fake
"Tokyo Ghoul ANIME gets Netflix-only release, fans furious","Tokyo Ghoul ANIME gets Netflix-only release, fans furious (auto-generated fake news)",fake
Shocking leak: Vinland Saga to receive live-action remake at YouTube,Shocking leak: Vinland Saga to receive live-action remake at YouTube (auto-generated fake news),fake
Hunter x Hunter suspended in Japan due to extreme violence,Hunter x Hunter suspended in Japan due to extreme violence (auto-generated fake news),fake
Fullmetal Alchemist suspended in Japan due to extreme violence,Fullmetal Alchemist suspended in Japan due to extreme violence (auto-generated fake news),fake
Bleach SEASON 4 CANCELLED due to low animation budget,Bleach SEASON 4 CANCELLED due to low animation budget (auto-generated fake news),fake
BREAKING: Hunter x Hunter returns in new reboot confirmed by anonymous leaker,BREAKING: Hunter x Hunter returns in new reboot confirmed by anonymous leaker (auto-generated fake news),fake
BREAKING: Sailor Moon returns in new reboot confirmed by anonymous leaker,BREAKING: Sailor Moon returns in new reboot confirmed by anonymous leaker (auto-generated fake news),fake
Naruto SEASON 3 CANCELLED due to low animation budget,Naruto SEASON 3 CANCELLED due to low animation budget (auto-generated fake news),fake
Dr. Stone rumored to be replaced by AI animation,Dr. Stone rumored to be replaced by AI animation (auto-generated fake news),fake
BREAKING: Demon Slayer returns in new reboot confirmed by insider source,BREAKING: Demon Slayer returns in new reboot confirmed by insider source (auto-generated fake news),fake
Shocking leak: Re:Zero to receive live-action remake at Crunchyroll,Shocking leak: Re:Zero to receive live-action remake at Crunchyroll (auto-generated fake news),fake
One Piece CONFIRMED crossover with Naruto,One Piece CONFIRMED crossover with Naruto (auto-generated fake news),fake
Dragon Ball CONFIRMED crossover with Dragon Ball,Dragon Ball CONFIRMED crossover with Dragon Ball (auto-generated fake news),fake
Fullmetal Alchemist suspended in Japan due to extreme violence,Fullmetal Alchemist suspended in Japan due to extreme violence (auto-generated fake news),fake
Demon Slayer suspended in Japan due to extreme violence,Demon Slayer suspended in Japan due to extreme violence (auto-generated fake news),fake
Vinland Saga CREATOR secretly working on stage play adaptation,Vinland Saga CREATOR secretly working on stage play adaptation (auto-generated fake news),fake
Sailor Moon ending CHANGED after controversy hits online,Sailor Moon ending CHANGED after controversy hits online (auto-generated fake news),fake
Steins;Gate rumored to be replaced by AI animation,Steins;Gate rumored to be replaced by AI animation (auto-generated fake news),fake
Demon Slayer suspended in Japan due to extreme violence,Demon Slayer suspended in Japan due to extreme violence (auto-generated fake news),fake
One Piece CONFIRMED crossover with Dragon Ball,One Piece CONFIRMED crossover with Dragon Ball (auto-generated fake news),fake
"Demon Slayer ANIME gets Disney+-only release, fans furious","Demon Slayer ANIME gets Disney+-only release, fans furious (auto-generated fake news)",fake
Bleach CONFIRMED crossover with Naruto,Bleach CONFIRMED crossover with Naruto (auto-generated fake news),fake
Demon Slayer SEASON 14 CANCELLED due to writer conflict,Demon Slayer SEASON 14 CANCELLED due to writer conflict (auto-generated fake news),fake
My Hero Academia ending CHANGED after controversy hits online,My Hero Academia ending CHANGED after controversy hits online (auto-generated fake news),fake
Dragon Ball suspended in Japan due to extreme violence,Dragon Ball suspended in Japan due to extreme violence (auto-generated fake news),fake
Shocking leak: Re:Zero to receive live-action remake at Amazon Prime,Shocking leak: Re:Zero to receive live-action remake at Amazon Prime (auto-generated fake news),fake
Fullmetal Alchemist CONFIRMED crossover with One Piece,Fullmetal Alchemist CONFIRMED crossover with One Piece (auto-generated fake news),fake
Hunter x Hunter CREATOR secretly working on prequel series,Hunter x Hunter CREATOR secretly working on prequel series (auto-generated fake news),fake
Attack on Titan ending CHANGED after controversy hits online,Attack on Titan ending CHANGED after controversy hits online (auto-generated fake news),fake
BREAKING: Tokyo Ghoul returns in new reboot confirmed by anonymous leaker,BREAKING: Tokyo Ghoul returns in new reboot confirmed by anonymous leaker (auto-generated fake news),fake
Black Clover ending CHANGED after controversy hits online,Black Clover ending CHANGED after controversy hits online (auto-generated fake news),fake
Hunter x Hunter CREATOR secretly working on prequel series,Hunter x Hunter CREATOR secretly working on prequel series (auto-generated fake news),fake
Solo Leveling ending CHANGED after controversy hits online,Solo Leveling ending CHANGED after controversy hits online (auto-generated fake news),fake
"Chainsaw Man ANIME gets Amazon Prime-only release, fans furious","Chainsaw Man ANIME gets Amazon Prime-only release, fans furious (auto-generated fake news)",fake
Shocking leak: Steins;Gate to receive live-action remake at Disney+,Shocking leak: Steins;Gate to receive live-action remake at Disney+ (auto-generated fake news),fake
Hunter x Hunter CREATOR secretly working on stage play adaptation,Hunter x Hunter CREATOR secretly working on stage play adaptation (auto-generated fake news),fake
Vinland Saga SEASON 8 CANCELLED due to legal disputes,Vinland Saga SEASON 8 CANCELLED due to legal disputes (auto-generated fake news),fake
Tokyo Ghoul SEASON 12 CANCELLED due to legal disputes,Tokyo Ghoul SEASON 12 CANCELLED due to legal disputes (auto-generated fake news),fake
Hunter x Hunter ending CHANGED after controversy hits online,Hunter x Hunter ending CHANGED after controversy hits online (auto-generated fake news),fake
Hunter x Hunter CONFIRMED crossover with Dragon Ball,Hunter x Hunter CONFIRMED crossover with Dragon Ball (auto-generated fake news),fake
Dragon Ball suspended in Japan due to extreme violence,Dragon Ball suspended in Japan due to extreme violence (auto-generated fake news),fake
Shocking leak: Dragon Ball to receive live-action remake at Amazon Prime,Shocking leak: Dragon Ball to receive live-action remake at Amazon Prime (auto-generated fake news),fake
Naruto suspended in Japan due to extreme violence,Naruto suspended in Japan due to extreme violence (auto-generated fake news),fake
Tokyo Ghoul rumored to be replaced by AI animation,Tokyo Ghoul rumored to be replaced by AI animation (auto-generated fake news),fake
Re:Zero ending CHANGED after controversy hits online,Re:Zero ending CHANGED after controversy hits online (auto-generated fake news),fake
Jujutsu Kaisen rumored to be replaced by AI animation,Jujutsu Kaisen rumored to be replaced by AI animation (auto-generated fake news),fake
Sailor Moon suspended in Japan due to extreme violence,Sailor Moon suspended in Japan due to extreme violence (auto-generated fake news),fake
One Piece rumored to be replaced by AI animation,One Piece rumored to be replaced by AI animation (auto-generated fake news),fake
"Solo Leveling ANIME gets Amazon Prime-only release, fans furious","Solo Leveling ANIME gets Amazon Prime-only release, fans furious (auto-generated fake news)",fake
Hunter x Hunter ending CHANGED after controversy hits online,Hunter x Hunter ending CHANGED after controversy hits online (auto-generated fake news),fake
BREAKING: Chainsaw Man returns in new reboot confirmed by anonymous leaker,BREAKING: Chainsaw Man returns in new reboot confirmed by anonymous leaker (auto-generated fake news),fake
Dr. Stone CREATOR secretly working on prequel series,Dr. Stone CREATOR secretly working on prequel series (auto-generated fake news),fake
Fullmetal Alchemist CONFIRMED crossover with Bleach,Fullmetal Alchemist CONFIRMED crossover with Bleach (auto-generated fake news),fake
Jujutsu Kaisen ending CHANGED after controversy hits online,Jujutsu Kaisen ending CHANGED after controversy hits online (auto-generated fake news),fake
BREAKING: Vinland Saga returns in new reboot confirmed by exclusive report,BREAKING: Vinland Saga returns in new reboot confirmed by exclusive report (auto-generated fake news),fake
"Hunter x Hunter ANIME gets Crunchyroll-only release, fans furious","Hunter x Hunter ANIME gets Crunchyroll-only release, fans furious (auto-generated fake news)",fake
Dragon Ball CREATOR secretly working on OVA special,Dragon Ball CREATOR secretly working on OVA special (auto-generated fake news),fake
"Steins;Gate ANIME gets Amazon Prime-only release, fans furious","Steins;Gate ANIME gets Amazon Prime-only release, fans furious (auto-generated fake news)",fake
Vinland Saga CREATOR secretly working on OVA special,Vinland Saga CREATOR secretly working on OVA special (auto-generated fake news),fake
Tokyo Ghoul SEASON 11 CANCELLED due to studio bankruptcy,Tokyo Ghoul SEASON 11 CANCELLED due to studio bankruptcy (auto-generated fake news),fake
Demon Slayer rumored to be replaced by AI animation,Demon Slayer rumored to be replaced by AI animation (auto-generated fake news),fake
Shocking leak: Fullmetal Alchemist to receive live-action remake at Netflix,Shocking leak: Fullmetal Alchemist to receive live-action remake at Netflix (auto-generated fake news),fake
Steins;Gate SEASON 14 CANCELLED due to legal disputes,Steins;Gate SEASON 14 CANCELLED due to legal disputes (auto-generated fake news),fake
Dragon Ball rumored to be replaced by AI animation,Dragon Ball rumored to be replaced by AI animation (auto-generated fake news),fake
Sailor Moon CREATOR secretly working on prequel series,Sailor Moon CREATOR secretly working on prequel series (auto-generated fake news),fake
"Re:Zero ANIME gets Amazon Prime-only release, fans furious","Re:Zero ANIME gets Amazon Prime-only release, fans furious (auto-generated fake news)",fake
Hunter x Hunter CONFIRMED crossover with Naruto,Hunter x Hunter CONFIRMED crossover with Naruto (auto-generated fake news),fake
Naruto CREATOR secretly working on OVA special,Naruto CREATOR secretly working on OVA special (auto-generated fake news),fake
Bleach ending CHANGED after controversy hits online,Bleach ending CHANGED after controversy hits online (auto-generated fake news),fake
BREAKING: Hunter x Hunter returns in new reboot confirmed by insider source,BREAKING: Hunter x Hunter returns in new reboot confirmed by insider source (auto-generated fake news),fake
Fullmetal Alchemist rumored to be replaced by AI animation,Fullmetal Alchemist rumored to be replaced by AI animation (auto-generated fake news),fake
Sailor Moon SEASON 15 CANCELLED due to controversial themes,Sailor Moon SEASON 15 CANCELLED due to controversial themes (auto-generated fake news),fake
Steins;Gate suspended in Japan due to extreme violence,Steins;Gate suspended in Japan due to extreme violence (auto-generated fake news),fake
My Hero Academia CONFIRMED crossover with Bleach,My Hero Academia CONFIRMED crossover with Bleach (auto-generated fake news),fake
BREAKING: Vinland Saga returns in new reboot confirmed by exclusive report,BREAKING: Vinland Saga returns in new reboot confirmed by exclusive report (auto-generated fake news),fake
Bleach SEASON 8 CANCELLED due to legal disputes,Bleach SEASON 8 CANCELLED due to legal disputes (auto-generated fake news),fake
Steins;Gate ending CHANGED after controversy hits online,Steins;Gate ending CHANGED after controversy hits online (auto-generated fake news),fake
BREAKING: Sailor Moon returns in new reboot confirmed by anonymous leaker,BREAKING: Sailor Moon returns in new reboot confirmed by anonymous leaker (auto-generated fake news),fake
Fullmetal Alchemist rumored to be replaced by AI animation,Fullmetal Alchemist rumored to be replaced by AI animation (auto-generated fake news),fake
Re:Zero SEASON 2 CANCELLED due to piracy issues,Re:Zero SEASON 2 CANCELLED due to piracy issues (auto-generated fake news),fake
"Spy x Family ANIME gets Disney+-only release, fans furious","Spy x Family ANIME gets Disney+-only release, fans furious (auto-generated fake news)",fake
Dragon Ball CONFIRMED crossover with Bleach,Dragon Ball CONFIRMED crossover with Bleach (auto-generated fake news),fake
BREAKING: Attack on Titan returns in new reboot confirmed by anonymous leaker,BREAKING: Attack on Titan returns in new reboot confirmed by anonymous leaker (auto-generated fake news),fake
Shocking leak: Re:Zero to receive live-action remake at Amazon Prime,Shocking leak: Re:Zero to receive live-action remake at Amazon Prime (auto-generated fake news),fake
Jujutsu Kaisen rumored to be replaced by AI animation,Jujutsu Kaisen rumored to be replaced by AI animation (auto-generated fake news),fake
Dragon Ball ending CHANGED after controversy hits online,Dragon Ball ending CHANGED after controversy hits online (auto-generated fake news),fake
"Demon Slayer ANIME gets Amazon Prime-only release, fans furious","Demon Slayer ANIME gets Amazon Prime-only release, fans furious (auto-generated fake news)",fake
"Vinland Saga ANIME gets Netflix-only release, fans furious","Vinland Saga ANIME gets Netflix-only release, fans furious (auto-generated fake news)",fake
Shocking leak: Tokyo Ghoul to receive live-action remake at Crunchyroll,Shocking leak: Tokyo Ghoul to receive live-action remake at Crunchyroll (auto-generated fake news),fake
BREAKING: Hunter x Hunter returns in new reboot confirmed by exclusive report,BREAKING: Hunter x Hunter returns in new reboot confirmed by exclusive report (auto-generated fake news),fake
Bleach CREATOR secretly working on prequel series,Bleach CREATOR secretly working on prequel series (auto-generated fake news),fake
Hunter x Hunter suspended in Japan due to extreme violence,Hunter x Hunter suspended in Japan due to extreme violence (auto-generated fake news),fake
Tokyo Ghoul CREATOR secretly working on OVA special,Tokyo Ghoul CREATOR secretly working on OVA special (auto-generated fake news),fake
Dragon Ball SEASON 14 CANCELLED due to legal disputes,Dragon Ball SEASON 14 CANCELLED due to legal disputes (auto-generated fake news),fake
Spy x Family ending CHANGED after controversy hits online,Spy x Family ending CHANGED after controversy hits online (auto-generated fake news),fake
BREAKING: Black Clover returns in new reboot confirmed by anonymous leaker,BREAKING: Black Clover returns in new reboot confirmed by anonymous leaker (auto-generated fake news),fake
Fullmetal Alchemist ending CHANGED after controversy hits online,Fullmetal Alchemist ending CHANGED after controversy hits online (auto-generated fake news),fake
Shocking leak: Dragon Ball to receive live-action remake at YouTube,Shocking leak: Dragon Ball to receive live-action remake at YouTube (auto-generated fake news),fake
Sailor Moon CREATOR secretly working on prequel series,Sailor Moon CREATOR secretly working on prequel series (auto-generated fake news),fake
Vinland Saga CREATOR secretly working on prequel series,Vinland Saga CREATOR secretly working on prequel series (auto-generated fake news),fake
"Mob Psycho 100 ANIME gets Crunchyroll-only release, fans furious","Mob Psycho 100 ANIME gets Crunchyroll-only release, fans furious (auto-generated fake news)",fake
Mob Psycho 100 rumored to be replaced by AI animation,Mob Psycho 100 rumored to be replaced by AI animation (auto-generated fake news),fake
One Piece SEASON 13 CANCELLED due to writer conflict,One Piece SEASON 13 CANCELLED due to writer conflict (auto-generated fake news),fake
Tokyo Ghoul SEASON 2 CANCELLED due to low animation budget,Tokyo Ghoul SEASON 2 CANCELLED due to low animation budget (auto-generated fake news),fake
Re:Zero CONFIRMED crossover with One Piece,Re:Zero CONFIRMED crossover with One Piece (auto-generated fake news),fake
Black Clover ending CHANGED after controversy hits online,Black Clover ending CHANGED after controversy hits online (auto-generated fake news),fake
Dr. Stone CREATOR secretly working on OVA special,Dr. Stone CREATOR secretly working on OVA special (auto-generated fake news),fake
Bleach CONFIRMED crossover with Naruto,Bleach CONFIRMED crossover with Naruto (auto-generated fake news),fake
Sailor Moon SEASON 5 CANCELLED due to writer conflict,Sailor Moon SEASON 5 CANCELLED due to writer conflict (auto-generated fake news),fake
Steins;Gate CREATOR secretly working on OVA special,Steins;Gate CREATOR secretly working on OVA special (auto-generated fake news),fake
Demon Slayer SEASON 6 CANCELLED due to studio bankruptcy,Demon Slayer SEASON 6 CANCELLED due to studio bankruptcy (auto-generated fake news),fake
"Vinland Saga ANIME gets Amazon Prime-only release, fans furious","Vinland Saga ANIME gets Amazon Prime-only release, fans furious (auto-generated fake news)",fake
BREAKING: One Piece returns in new reboot confirmed by Twitter account,BREAKING: One Piece returns in new reboot confirmed by Twitter account (auto-generated fake news),fake
Shocking leak: Solo Leveling to receive live-action remake at YouTube,Shocking leak: Solo Leveling to receive live-action remake at YouTube (auto-generated fake news),fake
Vinland Saga SEASON 14 CANCELLED due to controversial themes,Vinland Saga SEASON 14 CANCELLED due to controversial themes (auto-generated fake news),fake
Vinland Saga suspended in Japan due to extreme violence,Vinland Saga suspended in Japan due to extreme violence (auto-generated fake news),fake
Dragon Ball CONFIRMED crossover with Naruto,Dragon Ball CONFIRMED crossover with Naruto (auto-generated fake news),fake
Spy x Family rumored to be replaced by AI animation,Spy x Family rumored to be replaced by AI animation (auto-generated fake news),fake
Shocking leak: Re:Zero to receive live-action remake at Disney+,Shocking leak: Re:Zero to receive live-action remake at Disney+ (auto-generated fake news),fake
Shocking leak: Jujutsu Kaisen to receive live-action remake at Crunchyroll,Shocking leak: Jujutsu Kaisen to receive live-action remake at Crunchyroll (auto-generated fake news),fake
Hunter x Hunter CONFIRMED crossover with One Piece,Hunter x Hunter CONFIRMED crossover with One Piece (auto-generated fake news),fake
Chainsaw Man rumored to be replaced by AI animation,Chainsaw Man rumored to be replaced by AI animation (auto-generated fake news),fake
"Chainsaw Man ANIME gets Netflix-only release, fans furious","Chainsaw Man ANIME gets Netflix-only release, fans furious (auto-generated fake news)",fake
BREAKING: Hunter x Hunter returns in new reboot confirmed by insider source,BREAKING: Hunter x Hunter returns in new reboot confirmed by insider source (auto-generated fake news),fake
Solo Leveling ending CHANGED after controversy hits online,Solo Leveling ending CHANGED after controversy hits online (auto-generated fake news),fake
Bleach suspended in Japan due to extreme violence,Bleach suspended in Japan due to extreme violence (auto-generated fake news),fake
My Hero Academia CONFIRMED crossover with Bleach,My Hero Academia CONFIRMED crossover with Bleach (auto-generated fake news),fake
Jujutsu Kaisen CONFIRMED crossover with Naruto,Jujutsu Kaisen CONFIRMED crossover with Naruto (auto-generated fake news),fake
"Bleach ANIME gets Crunchyroll-only release, fans furious","Bleach ANIME gets Crunchyroll-only release, fans furious (auto-generated fake news)",fake
Re:Zero rumored to be replaced by AI animation,Re:Zero rumored to be replaced by AI animation (auto-generated fake news),fake
Sailor Moon CONFIRMED crossover with Dragon Ball,Sailor Moon CONFIRMED crossover with Dragon Ball (auto-generated fake news),fake
Naruto rumored to be replaced by AI animation,Naruto rumored to be replaced by AI animation (auto-generated fake news),fake
Chainsaw Man CONFIRMED crossover with One Piece,Chainsaw Man CONFIRMED crossover with One Piece (auto-generated fake news),fake
Sailor Moon SEASON 4 CANCELLED due to studio bankruptcy,Sailor Moon SEASON 4 CANCELLED due to studio bankruptcy (auto-generated fake news),fake
